X,UV,Green,Red
1325,184,411,177
1326,134,498,192
1327,136,476,188
1328,154,496,193
1329,141,473,195
1330,152,476,182
1331,135,491,146
1332,122,523,168
1333,107,636,187
1334,135,755,171
1335,140,798,171
1336,154,783,240
1337,151,712,245
1338,149,625,293
1339,158,601,275
1340,137,581,234
1341,144,514,161
1342,138,488,144
1343,138,505,143
1344,160,508,165
1345,122,490,136
1346,121,462,174
1347,124,458,230
1348,135,533,225
1349,120,497,212
1350,133,503,166
1351,128,600,141
1352,127,681,110
1353,114,772,107
1354,118,982,117
1355,99,995,129
1356,101,1010,164
1357,109,935,166
1358,112,912,170
1359,94,858,162
1360,95,754,146
1361,98,713,159
1362,116,743,191
1363,99,677,226
1364,110,663,244
1365,120,683,226
1366,134,627,203
1367,125,670,164
1368,112,743,172
1369,102,794,163
1370,100,834,174
1371,95,955,167
1372,87,961,154
1373,109,1079,184
1374,113,1101,202
1375,114,1058,175
1376,111,1013,209
1377,119,936,231
1378,148,959,264
1379,117,884,287
1380,117,806,277
1381,133,807,328
1382,112,744,348
1383,133,781,349
1384,98,888,345
1385,83,815,347
1386,92,885,350
1387,91,948,304
1388,112,975,310
1389,95,1035,344
1390,134,998,309
1391,124,953,283
1392,130,966,311
1393,133,939,303
1394,115,870,353
1395,113,905,326
1396,110,872,286
1397,116,915,293
1398,115,900,294
1399,94,948,300
1400,92,1034,301
1401,101,1155,291
1402,108,1224,257
1403,95,1275,269
1404,89,1320,259
1405,94,1348,260
1406,91,1252,262
1407,105,1198,232
1408,96,1087,255
1409,93,1025,239
1410,70,1026,250
1411,81,974,267
1412,87,955,287
1413,90,961,266
1414,72,988,265
1415,79,1056,247
1416,71,1100,178
1417,72,1275,185
1418,76,1317,179
1419,69,1442,182
1420,67,1681,164
1421,65,1591,175
1422,63,1655,167
1423,48,1560,152
1424,55,1469,159
1425,63,1313,134
1426,42,1223,149
1427,47,1135,141
1428,71,1141,141
1429,59,1118,158
1430,64,1115,173
1431,62,1112,239
1432,71,1143,269
1433,52,1201,292
1434,44,1293,287
1435,63,1333,273
1436,47,1503,279
1437,65,1538,215
1438,49,1584,196
1439,67,1560,193
1440,41,1415,218
1441,64,1346,248
1442,69,1227,241
1443,75,1181,204
1444,74,1084,185
1445,64,964,247
1446,61,962,264
1447,56,953,326
1448,50,913,373
1449,39,1013,431
1450,51,1016,358
1451,53,1019,223
1452,50,1041,183
1453,52,1028,147
1454,51,1121,175
1455,68,1041,177
1456,71,997,181
1457,64,994,191
1458,63,855,214
1459,59,781,295
1460,65,737,339
1461,65,676,310
1462,50,674,275
1463,53,629,266
1464,42,635,256
1465,44,592,200
1466,49,606,243
1467,47,536,249
1468,57,587,295
1469,60,547,270
1470,87,571,293
1471,63,485,246
1472,62,448,325
1473,48,436,326
1474,62,392,327
1475,50,380,264
1476,46,336,273
1477,66,326,294
1478,60,288,260
1479,68,303,400
1480,56,301,461
1481,75,254,556
1482,71,257,659
1483,82,214,718
1484,70,235,883
