X,UV,Green,Red
1591,10,59,43
1592,12,69,54
1593,12,58,39
1594,10,79,44
1595,13,54,43
1596,8,80,39
1597,14,53,55
1598,12,70,75
1599,14,62,33
1600,34,132,40
1601,74,421,64
1602,89,462,371
1603,91,452,377
1604,84,415,343
1605,64,413,342
1606,75,423,343
1607,74,488,364
1608,79,442,356
1609,88,394,315
1610,85,433,404
1611,99,491,318
1612,73,360,356
1613,98,445,327
1614,56,473,324
1615,71,356,349
1616,83,433,320
1617,65,414,305
1618,70,393,281
1619,78,459,305
1620,60,372,267
1621,87,477,276
1622,80,437,272
1623,70,396,288
1624,88,483,275
1625,65,316,317
1626,70,472,243
1627,71,318,283
1628,87,448,309
1629,67,354,243
1630,66,449,297
1631,75,375,244
1632,72,445,335
1633,69,367,199
1634,75,391,263
1635,79,468,226
1636,87,340,239
1637,70,406,299
1638,81,347,227
1639,82,363,230
1640,62,445,236
1641,67,394,278
1642,77,375,244
1643,56,406,234
1644,57,385,213
1645,67,374,199
